,Star_name,Distance,Mass,Radius,Luminosity,,Star_name,Distance,Mass,Radius

0,Sun,0.000015813,1,1,1,2,LHS 102BC,,,

3,Alpha Centauri,0004.4,1.1,1.2,2,14,2MASS J00034227-2822410,,,

1,Sirius,0008.6,2.1,1.71´,25.4,31,2MASS J02511327+0047364,,,

8,Procyon,0011.4,1.5,1.9,7.7,117,TWA 27A,,,

12,Altair,0017,1.8,1.8,10.5,118,TWA 27B,,,

5,Vega,0025,2.2,2.7,50,177,2MASS J14112131-2119503,,,

18,Fomalhaut,0025,1.9,1.8,16.6,26,2MASS J02103857-3015313,101,15,1.53

17,Pollux,0034,1.9,8.8,43,129,2MASS J13204427+0409045,101,67,1.01

4,Arcturus,0037,1.1,26,170,194,WISE 0038+8405,101.8,,

6,Capella,0043,2.6,12,150,67,2MASS J06085283-2753583,102,38,1.51

24,Castor,0052,2.8,2.4,30,273,WISE 1147-2040,102,,

14,Aldebaran,0065,1.5,44,520,140,CFBDSIR 1458+10A,104,11.1,1.5

21,Regulus,0077,3.8,3.1,290,141,CFBDSIR 1458+10B,104,9,1.3

45,Alsephina[2],0080,2.4,2.9,90,168,2MASS J20004841-7523070,105,25,1.88

32,Alioth,0081,2.9,4.2,110,215,WISE 0316+4307,106.3,,

25,Gacrux,0088,1.5,84,820,314,WISE 1830+4542,107,,

63,La Superba,"01,000",,129 - 342,"2,472 - 5,800",99,2MASSI J1017075+130839 [de],108,,

30,Gamma Velorum,"01,100",9.0,6,"170,000",171,2MASSW J2101154+175658,108,,

83,KIC 8462852,"01,470",1.43,1.58,4.68,288,WISE 1506+7027,11.1,,

55,Ran,010.48,0.82,0.74,0.34,157,2MASS J16262034+3925190 [de],110,71,1.03

31,Alnair,0101,4.0,3.4,260,25,SDSS J020742.48+000056.2 [de],111,47,0.97

40,Alkaid,0104,6.1,3.4,"1,350",350,WISEA 1101+5400,111,,

33,Alnitak,01050,33,20,"120,000",174,HB 2124-4228,113,94,1.21

43,Alhena,0109,2.8,3.3,120,161,2MASSI J1726000+153819,114,24,1.40

65,61 Cygni,011.41,0.7,0.665,0.153,124,2MASSW J1239272+551537 [de],119,,

53,Tau Ceti,011.9,0.783,0.893,0.52,32,Teegarden's star,12.578,80,1.27

28,Miaplacidus,0110,3.5,6.8,290,351,2M1510,120,40 + 39 + ?,

72,Lacaille 8760,012.87,0.6,0.51,0.072,115,2MASS J11544223-3400390 [de],129,37,1.50

34,Dubhe,0120,4.25,30,300,104,DEN 1048-3956,13.15,77,1.07

49,Mintaka,01200,24,16.5,"190,000",75,UGPS J072227.51-054031.2,13.4,26,0.98

27,Elnath,0130,5.0,4.2,700,20,2MASS J01415823-4633574 [de],130,20,1.61

75,II Pegasi,0130,0.8,3.4,1.06,48,DENIS-P J035726.9-441730 [de],130,,

71,RW Cephei,"014,000",13.9,"1,158","417,000",8,2MASS J00332386-1521309 [de],131,29,1.43

96,Icarus,"014,400,000,000",33,?,"850,000",315,WISE 1841+7000,131.1,,

38,Kaus Australis,0140,3.5,6.8,360,113,TWA 26,137,30,2.20

10,Achernar,0144,6.7,9.3,"3,000",166,2MASSW J1841086+311727,138,67,1.01

84,R136a1,"0163,000",290,32,"8,710,000",53,2MASS J04362788-4114465,142,39,1.97

85,Melnick 42,"0163,000",189,21.1,"3,600,000",198,WISE 0106+1518,142.9,,

92,WOH G64,"0163,000",<20,"1,540 - 1,730","340-589,000",4,2MASS J00250365+4759191AB,143,,

87,VFTS 352,"0164,000",57.48,14.47,"330,000",185,2MASS J23225299-6151275,148,17,1.59

78,S Doradus,"0169,000",24,380,"910,000",134,SDSS J141659.78+500626.4 [de],149,59,0.99

66,R Doradus,0178,0.7 - 1.0,298,"4,350",28,2MASS J02411151-0326587 [de],152,27,1.41

86,WR 102,"018,134",19,0.39,"282,000",179,2MASSW J2208136+292121,154,27,1.41

91,VB 10,018.72,0.075,0.10,0.0004,27,2MASS J02340093-6442068,155,20,1.62

44,Peacock,0180,5.9,4.8,"2,200",82,DENIS J081730.0-615520,16.1,44,0.94

48,Alphard,0180,3.0,50,780,35,DEN 0255-4700,16.2,80,0.97

73,V838 Monocerotis,"019,896",?,380 - 750,"15,000",299,WISE 1639-6847,16.3,,

54,Delta Pavonis,019.92,0.991,1.22,1.22,19,2MASSI J0117474-340325 [de],163,20,1.62

74,HD 140283,0190,?,1.4,3.83,109,Cha 110913-773444,163,8,1.8

50,Scheat,0196,2.1,95,"1,500",95,2MASS 0939−2448,17.4,32,0.95

88,YBP 1194,"02,772",1.01,0.99,0.98,223,WISE 0350-5658,17.7,,

26,Bellatrix,0240,8.6,5.8,"9,200",112,2MASS J11145133−2618235,18.2,33,0.96

77,Pistol Star,"025,000",100,320,"1,700,000",165,LSR J1835+3259,18.5,77,1.07

16,Spica,0260,11.43,7.47,"20,512",49,2MASS J04151954−0935066,18.6,30,0.95

37,Sargas,0270,5.7,26,"1,800",307,WISE 1741+2553,18.9,,

67,Polaris Australis,0281,1.59,3.74,38,108,TWA 28,180,36,2.39

76,VY Canis Majoris,"03,900",17,"1,420","178,000 - 270,000",33,2MASS J02535980+3206373,184,65,1.9

70,Mira,0300,1.2,370,"9,000",224,WISE 0359-5401,19.2,,

2,Canopus,0310,15,71,"13,500",1,2MASS J00040288-6410358,192,19,1.63

13,Acrux,0320,18,8.9,"25,000",38,2MASS J03231002-4631237,192,23,1.66

20,Mimosa,0350,16,8.4,"34,000",225,WISE 0410+1502,20,6,1.17

69,54 Piscium,036.1,0.76,0.94,0.52,292,WISE 1541-2250,20,,

52,Rasalgethi,0360,2.8,280,"8,300",306,WISE 1738+2732,20,,

93,TRAPPIST-1,039.6,0.089,0.12,0.0005,94,2MASSI J0937347+293142,20.0,42,0.94

11,Hadar,0390,10.5,8.6,"42,000",202,WISE 0146+4234,20.5,,

42,Atria,0390,7,92,"5,500",143,2MASS 1503+2525,20.7,44,0.94

68,R Coronae Borealis,"04,566",0.85,85,"10,000",43,LP 944-20,20.9,73,1.43

64,VV Cephei,"04,900",18.2,"516 - 1,050","200,000",119,2MASS J12074836-3900043,217,17,1.71

82,Proxima Centauri,04.25,0.12,0.15,0.0017,318,WISE 1928+2356,22.8,,

94,2MASS J0523-1403,040.3,0.07,0.086,0.00013,188,WISE 0005+3737,23.2,,

22,Adhara,0430,12.5,14,"39,000",249,WISE 0713-2917,23.2,,

47,Polaris,0430,5.4,39,"2,500",89,2MASSI J0835425-081923 [de],23.53,62,1.00

60,Titawin,044.25,1.27,1.48,3.57,146,2MASS 1507−1627,23.9,60,0.99

89,Gliese 1214,047.5,0.16,0.21,0.0033,5,2MASS J00274197+0503417,236,31,1.44

79,UY Scuti,"05,100",7–10,755,"86,300 - 87,100",34,WISE J0254+0223,24,65,1.9

90,NML Cygni,"05,251",50,"1,640 - 2,770","229,000",197,WISE 0049+2151,24.1,,

62,P Cygni,"05,545",30,76,"610,000",326,WISE 2056+1459,24.5,,

80,Barnard's Star,05.98,0.14,0.20,0.0035,284,WISE 1405+5534,25.3,30,0.86

46,Mirzam,0500,13.5,10,"27,000",238,WISE 0607+2429,25.4,,

35,Mirfak,0590,8.5,68,"5,000",77,2MASS J07290002-3954043 [de],25.8,37,0.94

59,Mu Cephei,"06,000",19.2,972,"135,000",176,2MASS J21481628+4003593,26.3,55,0.99

81,Luhman 16,06.52,0.04,?,?,331,WISE 2220-3628,26.4,,

15,Antares,0600,12,680,"75,000",125,TWA 29,262,2.00,25

39,Avior,0630,9.0,130,"60,000",42,2MASS J03341218-4953322,27.0,73,1.04

9,Betelgeuse,0640[1],20,950,"60,000",91,2MASS J08533619-0329321,27.6,77,1.07

51,Almaaz,0653,15,140,"43,000",159,WISEPA J164715.59+563208.2,28,41,0.94

57,Eta Carinae,"07,500",100,60–881,"5,000,000",214,WISE 0313+7807,28,,

95,WISE 0855−0714,07.27,0.003,?,?,247,WISE 0647-6232,28,,

23,Shaula,0700,14.5,8.8,"36,000",300,WISE 1647+5632,28,,

61,Rho Cassiopeiae,"08,154",22,636-981,"347,000 - 530,000",10,2MASS 0036+1821,28.6,42,0.94

56,V382 Carinae,"08,900",20,485,"212,000",309,WISE 1800+0134,28.7,57,

41,Menkalinan,081,2.39,2.77,50,54,2MASS J04390101-2353083 [de],29.5,48,0.97

7,Rigel,0860,23,78.9,"120,000",76,2MASSI J0727182+171001 [de],29.6,41,0.94

58,Delta Cephei,0887,4.5,44.5,"2,000",133,ULAS J141623.94+134836.3,29.7,32,0.96

36,Wezen,"1,600",17,200,"82,000",47,2MASS J03552337+1133437,29.8,20,1.32

29,Alnilam,"2,000",32,42,"380,000",16,CFBDS J005910.90–011401.3,30,23,

19,Deneb,"2,600",19,203,"200,000",203,WISE 0148-7202,30,,

